service,instrument,method,customerType,unitType,rate
physicalProperties,wrmsl,standard,tamusFederal,timeDays,70
physicalProperties,wrmsl,standard,externalAcademic,timeDays,109
physicalProperties,wrmsl,standard,commercial,timeDays,678
physicalProperties,ngrl,standard,tamusFederal,timeDays,59
physicalProperties,ngrl,standard,externalAcademic,timeDays,99
physicalProperties,ngrl,standard,commercial,timeDays,657
physicalProperties,shil,standard,tamusFederal,timeDays,52
physicalProperties,shil,standard,externalAcademic,timeDays,91
physicalProperties,shil,standard,commercial,timeDays,642
physicalProperties,shmsl,standard,tamusFederal,timeDays,22
physicalProperties,shmsl,standard,externalAcademic,timeDays,61
physicalProperties,shmsl,standard,commercial,timeDays,582
physicalProperties,hyperscan,standard,tamusFederal,timeDays,91
physicalProperties,hyperscan,standard,externalAcademic,timeDays,130
physicalProperties,hyperscan,standard,commercial,timeDays,719
physicalProperties,mad,standard,tamusFederal,timeDays,40
physicalProperties,mad,standard,externalAcademic,timeDays,79
physicalProperties,mad,standard,commercial,timeDays,617
physicalProperties,pwavebc,standard,tamusFederal,timeDays,47
physicalProperties,pwavebc,standard,externalAcademic,timeDays,86
physicalProperties,pwavebc,standard,commercial,timeDays,631
physicalProperties,shear,standard,tamusFederal,timeDays,14
physicalProperties,shear,standard,externalAcademic,timeDays,53
physicalProperties,shear,standard,commercial,timeDays,556
physicalProperties,tcon,standard,tamusFederal,timeDays,15
physicalProperties,tcon,standard,externalAcademic,timeDays,55
physicalProperties,tcon,standard,commercial,timeDays,569
xray,xscan,standard,tamusFederal,timeDays,129
xray,xscan,standard,externalAcademic,timeDays,168
xray,xscan,standard,commercial,timeDays,795
xray,ctscanner,standard,tamusFederal,timeDays,150
xray,ctscanner,standard,externalAcademic,timeDays,189
xray,ctscanner,standard,commercial,timeDays,816
xray,xrf,standard,tamusFederal,timeDays,105
xray,xrf,standard,externalAcademic,timeDays,128
xray,xrf,standard,commercial,timeDays,732
xray,pxrf,standard,tamusFederal,timeDays,24
xray,pxrf,standard,externalAcademic,timeDays,47
xray,pxrf,standard,commercial,timeDays,569
xray,xrd,standard,tamusFederal,timeDays,79
xray,xrd,standard,externalAcademic,timeDays,119
xray,xrd,standard,commercial,timeDays,697
imaging,microscopes,standard,tamusFederal,timeDays,56
imaging,microscopes,standard,externalAcademic,timeDays,95
imaging,microscopes,standard,commercial,timeDays,649
imaging,sem,standard,tamusFederal,timeDays,43
imaging,sem,standard,externalAcademic,timeDays,82
imaging,sem,standard,commercial,timeDays,623
imaging,sem-eds,standard,tamusFederal,timeDays,79
imaging,sem-eds,standard,externalAcademic,timeDays,119
imaging,sem-eds,standard,commercial,timeDays,697
magnetism,srm,standard,tamusFederal,timeDays,119
magnetism,srm,standard,externalAcademic,timeDays,158
magnetism,srm,standard,commercial,timeDays,775
magnetism,pmagdiscrete,standard,tamusFederal,timeDays,47
magnetism,pmagdiscrete,standard,externalAcademic,timeDays,86
magnetism,pmagdiscrete,standard,commercial,timeDays,631
chemistry,icpoes,standard,tamusFederal,timeDays,109
chemistry,icpoes,standard,externalAcademic,timeDays,148
chemistry,icpoes,standard,commercial,timeDays,756
chemistry,chns,standard,tamusFederal,timeDays,31
chemistry,chns,standard,externalAcademic,timeDays,70
chemistry,chns,standard,commercial,timeDays,600
chemistry,coul,standard,tamusFederal,timeDays,25
chemistry,coul,standard,externalAcademic,timeDays,64
chemistry,coul,standard,commercial,timeDays,588
chemistry,ic,standard,tamusFederal,timeDays,6
chemistry,ic,standard,externalAcademic,timeDays,99
chemistry,ic,standard,commercial,timeDays,658
chemistry,spec,standard,tamusFederal,timeDays,38
chemistry,spec,standard,externalAcademic,timeDays,77
chemistry,spec,standard,commercial,timeDays,613
chemistry,gc,standard,tamusFederal,timeDays,45
chemistry,gc,standard,externalAcademic,timeDays,84
chemistry,gc,standard,commercial,timeDays,628
chemistry,sra,standard,tamusFederal,timeDays,29
chemistry,sra,standard,externalAcademic,timeDays,68
chemistry,sra,standard,commercial,timeDays,596
curation,geodesc,standard,tamusFederal,timeDays,14
curation,geodesc,standard,externalAcademic,timeDays,53
curation,geodesc,standard,commercial,timeDays,566
curation,coresplit,standard,tamusFederal,timeDays,28
curation,coresplit,standard,externalAcademic,timeDays,67
curation,coresplit,standard,commercial,timeDays,594
curation,allgcr,standard,tamusFederal,timeDays,997
curation,allgcr,standard,externalAcademic,timeDays,1473
curation,allgcr,standard,commercial,timeDays,8951
